char	code	weight	source	note	old_code	status
武	vu6	1	ruianese.character_01.dict.yaml:143	already valid	vu6	ok
錶	bi2	1	ruianese.character_01.dict.yaml:144	already valid; #	bi2	ok
表	bi2	1	ruianese.character_01.dict.yaml:145	already valid	bi2	ok
忝	tiae1	1	ruianese.character_01.dict.yaml:146	no valid mapping; tried tiae1	tiae1	unresolved
長	jiae2	1	ruianese.character_01.dict.yaml:147	already valid	jiae2	ok
長	jjiae5	1	ruianese.character_01.dict.yaml:148	already valid	jjiae5	ok
其	jji5	1	ruianese.character_01.dict.yaml:149	already valid	jji5	ok
畫	va7	1	ruianese.character_01.dict.yaml:150	already valid	va7	ok
畫	vuo8	1	ruianese.character_01.dict.yaml:151	already valid	vuo8	ok
事	zzi8	1	ruianese.character_01.dict.yaml:152	already valid	zzi8	ok
棗	zae	1	ruianese.character_01.dict.yaml:153	already valid	zae	ok
並	beng6	1	ruianese.character_01.dict.yaml:154	already valid	beng6	ok
亟	ji3	1	ruianese.character_01.dict.yaml:155	jii3->ji3; #	jii3	converted
亟	qi4	1	ruianese.character_01.dict.yaml:156	qii4->qi4	qii4	converted
奏	zao4	1	ruianese.character_01.dict.yaml:158	already valid	zao4	ok
毒	dou7	1	ruianese.character_01.dict.yaml:159	already valid	dou7	ok
韭	jiao2	1	ruianese.character_01.dict.yaml:160	already valid	jiao2	ok
甚	zzang8	1	ruianese.character_01.dict.yaml:161	already valid	zzang8	ok
甚	zzang	1	ruianese.character_01.dict.yaml:162	already valid	zzang	ok
巷	hho8	1	ruianese.character_01.dict.yaml:163	already valid	hho8	ok
柬	go2	1	ruianese.character_01.dict.yaml:164	already valid	go2	ok
歪	wa1	1	ruianese.character_01.dict.yaml:165	no valid mapping; tried wa1	wa1	unresolved
甭	bong2	1	ruianese.character_01.dict.yaml:166	already valid	bong2	ok
晝	zao4	1	ruianese.character_01.dict.yaml:167	already valid	zao4	ok
艷	xie8	1	ruianese.character_01.dict.yaml:169	xyie8->xie8; 艳的正字	xyie8	converted
泰	ta4	1	ruianese.character_01.dict.yaml:170	already valid	ta4	ok
秦	zzang5	1	ruianese.character_01.dict.yaml:171	already valid	zzang5	ok
恭	gong4	1	ruianese.character_01.dict.yaml:172	already valid; #	gong4	ok
彧	ve3	1	ruianese.character_01.dict.yaml:173	veu3->ve3; #	veu3	converted
哥	gvu1	1	ruianese.character_01.dict.yaml:174	no valid mapping; tried gvu1	gvu1	unresolved
鬲	ga3	1	ruianese.character_01.dict.yaml:175	already valid	ga3	ok
